,walks,hits,hr,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,firstyear,OBP,SLG,AVG,L,R,R,2B,3B,CATCHER,CF,DH,LF,RF,SS,prob,inducted,playerID,nameFirst,nameLast
0,465,1324,197,710,708,50,121.0,36.0,36.0,99,3334,55,1.0,0.0,0.0,1.0,3.0,1538,2000,0.3200777659950513,0.43567251461988304,0.2580896686159844,0,1,1,0,0,0,1,0,0,0,0,0.0,,hendeda01,Dave,Henderson
2,529,1789,256,850,992,30,45.0,8.0,14.0,1978,1700,195,2.0,0.0,0.0,0.0,0.0,1891,1994,0.31810217010378755,0.43919316843345113,0.26339811542991753,0,1,1,0,1,0,0,0,0,0,0,0.0,,parrila01,Larry,Parrish
4,318,991,80,422,454,9,19.0,2.0,9.0,1676,757,141,1.0,0.0,0.0,0.0,1.0,1112,1990,0.3205004812319538,0.38934318121867584,0.2614085993141651,1,0,1,0,1,0,0,0,0,0,0,0.0,,howelro02,Roy,Howell
7,761,2386,282,1318,1061,344,39.0,15.0,10.0,6648,3892,120,10.0,1.0,9.0,0.0,0.0,2164,2003,0.34385471840882065,0.45163983303518185,0.2845557543231962,0,1,1,1,0,0,0,0,0,0,0,0.81,,sandbry01,Ryne,Sandberg
8,588,1286,306,748,943,14,14.0,1.0,9.0,950,9838,61,2.0,0.0,0.0,0.0,1.0,1367,2014,0.3436830835117773,0.5068993506493507,0.2609577922077922,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,sexsori01,Richie,Sexson
9,937,2176,284,1186,1205,67,117.0,39.0,31.0,1294,16695,136,6.0,0.0,1.0,0.0,1.0,1976,2006,0.38355501813784765,0.49658441377387424,0.30335982155304614,1,0,0,0,0,0,0,0,0,0,0,0.02,,clarkwi02,Will,Clark
12,1183,1897,287,1121,1078,109,77.0,16.0,29.0,95,3447,71,2.0,0.0,0.0,0.0,2.0,1847,2015,0.3998212233431235,0.5023747510341657,0.29063888463306264,1,0,0,0,0,0,0,0,0,1,0,0.0,,gilesbr02,Brian,Giles
16,1028,2877,80,1445,951,404,228.0,57.0,57.0,8050,4268,190,3.0,0.0,11.0,0.0,2.0,2968,2018,0.33631028323551926,0.3520687700736822,0.2717740411864727,0,0,1,0,0,0,0,0,0,0,1,0.22,,vizquom01,Omar,Vizquel
18,936,1664,275,900,1065,20,416.0,103.0,125.0,715,10207,92,5.0,0.0,0.0,5.0,2.0,1829,2017,0.3740383270387467,0.47406434668417596,0.273145108338805,0,0,1,0,0,1,0,0,0,0,0,0.03,0.0,posadjo01,Jorge,Posada
19,736,2326,101,993,950,321,101.0,30.0,34.0,7024,4245,326,7.0,0.0,5.0,2.0,2.0,2488,1994,0.3222872674053941,0.3569872750200619,0.2666513814054798,0,1,1,0,0,0,0,0,0,0,1,0.27,0.0,conceda01,Dave,Concepcion
20,429,2529,287,1084,1365,80,147.0,36.0,36.0,109,4057,48,3.0,0.0,0.0,1.0,0.0,2228,2016,0.3236577913574858,0.46111111111111114,0.29270833333333335,1,0,0,0,0,0,0,0,1,0,0,0.04,,anderga01,Garret,Anderson
